trip_id,HAR,CRC,KAM,TMI,CWG,CIL,CKK,PAN,KUA,RAS,SET,DKA
CB-WE-HAR-DKA-050,16:59,17:06,17:09,17:14,17:24,17:27,17:30,17:34,17:39,17:42,17:45,17:47
CB-WE-HAR-DKA-051,17:11,17:18,17:22,17:26,17:37,17:40,17:42,17:46,17:51,17:54,17:57,18:00
CB-WE-HAR-DKA-052,17:24,17:31,17:34,17:39,17:49,17:52,17:55,17:59,18:04,18:07,18:10,18:12
CB-WE-HAR-DKA-053,17:36,17:43,17:47,17:51,18:02,18:05,18:07,18:11,18:16,18:19,18:22,18:25
CB-WE-HAR-DKA-054,17:49,17:56,17:59,18:04,18:14,18:17,18:20,18:24,18:29,18:32,18:35,18:37
CB-WE-HAR-DKA-055,18:01,18:08,18:12,18:16,18:27,18:30,18:32,18:36,18:41,18:44,18:47,18:50
CB-WE-HAR-DKA-056,18:17,18:24,18:27,18:32,18:42,18:45,18:48,18:52,18:57,19:00,19:03,19:05
CB-WE-HAR-DKA-057,18:36,18:43,18:46,18:51,19:01,19:04,19:07,19:11,19:16,19:19,19:22,19:24
CB-WE-HAR-DKA-058,18:55,19:02,19:05,19:10,19:20,19:23,19:26,19:30,19:35,19:38,19:41,19:43
CB-WE-HAR-DKA-059,19:14,19:21,19:24,19:29,19:39,19:42,19:45,19:49,19:54,19:57,20:00,20:02
CB-WE-HAR-DKA-060,19:33,19:40,19:43,19:48,19:58,20:01,20:04,20:08,20:13,20:16,20:19,20:21
CB-WE-HAR-DKA-061,19:52,19:59,20:02,20:07,20:17,20:20,20:23,20:27,20:32,20:35,20:38,20:40
CB-WE-HAR-DKA-062,20:11,20:18,20:21,20:26,20:36,20:39,20:42,20:46,20:51,20:54,20:57,20:59
CB-WE-HAR-DKA-063,20:30,20:37,20:40,20:45,20:55,20:58,21:01,21:05,21:10,21:13,21:16,21:18
CB-WE-HAR-DKA-064,20:49,20:56,20:59,21:04,21:14,21:17,21:20,21:24,21:29,21:32,21:35,21:37
CB-WE-HAR-DKA-065,21:08,21:15,21:18,21:23,21:33,21:36,21:39,21:43,21:48,21:51,21:54,21:56
CB-WE-HAR-DKA-066,21:27,21:34,21:37,21:42,21:52,21:55,21:58,22:02,22:07,22:10,22:13,22:15
CB-WE-HAR-DKA-067,21:46,21:53,21:56,22:01,22:11,22:14,22:17,22:21,22:26,22:29,22:32,22:34
