trip_id,JTM,BEK,CK2,CK1,JBU,HAL,CWG,CIL,CKK,PAN,KUA,RAS,SET,DKA
BK-WE-JTM-DKA-044,15:36,15:40,15:45,15:48,15:52,15:59,16:04,16:07,16:10,16:13,16:19,16:21,16:25,16:27
BK-WE-JTM-DKA-045,15:48,15:53,15:57,16:01,16:05,16:11,16:16,16:19,16:22,16:26,16:31,16:34,16:37,16:40
BK-WE-JTM-DKA-046,16:01,16:06,16:10,16:13,16:17,16:24,16:29,16:32,16:35,16:38,16:44,16:46,16:50,16:52
BK-WE-JTM-DKA-047,16:13,16:18,16:22,16:26,16:30,16:36,16:41,16:44,16:47,16:51,16:56,16:59,17:02,17:05
BK-WE-JTM-DKA-048,16:26,16:30,16:35,16:38,16:42,16:49,16:54,16:57,17:00,17:03,17:09,17:11,17:15,17:17
BK-WE-JTM-DKA-049,16:38,16:43,16:47,16:51,16:55,17:01,17:06,17:09,17:12,17:16,17:21,17:24,17:27,17:30
BK-WE-JTM-DKA-050,16:51,16:55,17:00,17:03,17:07,17:14,17:19,17:22,17:25,17:28,17:34,17:36,17:40,17:42
BK-WE-JTM-DKA-051,17:03,17:08,17:12,17:16,17:20,17:26,17:31,17:34,17:37,17:41,17:46,17:49,17:52,17:55
BK-WE-JTM-DKA-052,17:16,17:20,17:25,17:28,17:32,17:39,17:44,17:47,17:50,17:53,17:59,18:01,18:05,18:07
BK-WE-JTM-DKA-053,17:28,17:33,17:37,17:41,17:45,17:51,17:56,17:59,18:02,18:06,18:11,18:14,18:17,18:20
BK-WE-JTM-DKA-054,17:41,17:45,17:50,17:53,17:57,18:04,18:09,18:12,18:15,18:18,18:24,18:26,18:30,18:32
BK-WE-JTM-DKA-055,17:53,17:58,18:02,18:06,18:10,18:16,18:21,18:24,18:27,18:31,18:36,18:39,18:42,18:45
BK-WE-JTM-DKA-056,18:06,18:10,18:15,18:18,18:22,18:29,18:34,18:37,18:40,18:43,18:49,18:51,18:55,18:57
BK-WE-JTM-DKA-057,18:25,18:29,18:34,18:37,18:41,18:48,18:53,18:56,18:59,19:02,19:08,19:10,19:14,19:16
BK-WE-JTM-DKA-058,18:44,18:48,18:53,18:56,19:00,19:07,19:12,19:15,19:18,19:21,19:27,19:29,19:33,19:35
BK-WE-JTM-DKA-059,19:03,19:07,19:12,19:15,19:19,19:26,19:31,19:34,19:37,19:40,19:46,19:48,19:52,19:54
BK-WE-JTM-DKA-060,19:22,19:26,19:31,19:34,19:38,19:45,19:50,19:53,19:56,19:59,20:05,20:07,20:11,20:13
BK-WE-JTM-DKA-061,19:41,19:45,19:50,19:53,19:57,20:04,20:09,20:12,20:15,20:18,20:24,20:26,20:30,20:32
BK-WE-JTM-DKA-062,20:00,20:04,20:09,20:12,20:16,20:23,20:28,20:31,20:34,20:37,20:43,20:45,20:49,20:51
BK-WE-JTM-DKA-063,20:19,20:23,20:28,20:31,20:35,20:42,20:47,20:50,20:53,20:56,21:02,21:04,21:08,21:10
BK-WE-JTM-DKA-064,20:38,20:42,20:47,20:50,20:54,21:01,21:06,21:09,21:12,21:15,21:21,21:23,21:27,21:29
BK-WE-JTM-DKA-065,20:57,21:01,21:06,21:09,21:13,21:20,21:25,21:28,21:31,21:34,21:40,21:42,21:46,21:48
BK-WE-JTM-DKA-066,21:16,21:20,21:25,21:28,21:32,21:39,21:44,21:47,21:50,21:53,21:59,22:01,22:05,22:07
BK-WE-JTM-DKA-067,21:35,21:39,21:44,21:47,21:51,21:58,22:03,22:06,22:09,22:12,22:18,22:20,22:24,22:26
BK-WE-JTM-DKA-068,21:54,21:58,22:03,22:06,22:10,22:17,22:22,22:25,22:28,22:31,22:37,22:39,22:43,22:45
BK-WE-JTM-DKA-069,22:13,22:17,22:22,22:25,22:29,22:36,22:41,22:44,22:47,22:50,22:56,22:58,23:02,23:04
