trip_id,DKA,SET,RAS,KUA,PAN,CKK,CIL,CWG,HAL,JBU,CK1,CK2,BEK,JTM
BK-WE-DKA-JTM-044,16:32,16:35,16:38,16:41,16:46,16:50,16:53,16:56,17:01,17:07,17:11,17:15,17:19,17:23
BK-WE-DKA-JTM-045,16:44,16:47,16:51,16:53,16:59,17:03,17:05,17:08,17:13,17:20,17:24,17:27,17:32,17:36
BK-WE-DKA-JTM-046,16:57,17:00,17:03,17:06,17:11,17:15,17:18,17:21,17:26,17:32,17:36,17:40,17:44,17:48
BK-WE-DKA-JTM-047,17:09,17:12,17:16,17:18,17:24,17:28,17:30,17:33,17:38,17:45,17:49,17:52,17:57,18:01
BK-WE-DKA-JTM-048,17:22,17:25,17:28,17:31,17:36,17:40,17:43,17:46,17:51,17:57,18:01,18:05,18:09,18:13
BK-WE-DKA-JTM-049,17:34,17:37,17:41,17:43,17:49,17:53,17:55,17:58,18:03,18:10,18:14,18:17,18:22,18:26
BK-WE-DKA-JTM-050,17:47,17:50,17:53,17:56,18:01,18:05,18:08,18:11,18:16,18:22,18:26,18:30,18:34,18:38
BK-WE-DKA-JTM-051,17:59,18:02,18:06,18:08,18:14,18:18,18:20,18:23,18:28,18:35,18:39,18:42,18:47,18:51
BK-WE-DKA-JTM-052,18:12,18:15,18:18,18:21,18:26,18:30,18:33,18:36,18:41,18:47,18:51,18:55,18:59,19:03
BK-WE-DKA-JTM-053,18:24,18:27,18:31,18:33,18:39,18:43,18:45,18:48,18:53,19:00,19:04,19:07,19:12,19:16
BK-WE-DKA-JTM-054,18:37,18:40,18:43,18:46,18:51,18:55,18:58,19:01,19:06,19:12,19:16,19:20,19:24,19:28
BK-WE-DKA-JTM-055,18:49,18:52,18:56,18:58,19:04,19:08,19:10,19:13,19:18,19:25,19:29,19:32,19:37,19:41
BK-WE-DKA-JTM-056,19:02,19:05,19:08,19:11,19:16,19:20,19:23,19:26,19:31,19:37,19:41,19:45,19:49,19:53
BK-WE-DKA-JTM-057,19:21,19:24,19:27,19:30,19:35,19:39,19:42,19:45,19:50,19:56,20:00,20:04,20:08,20:12
BK-WE-DKA-JTM-058,19:40,19:43,19:46,19:49,19:54,19:58,20:01,20:04,20:09,20:15,20:19,20:23,20:27,20:31
BK-WE-DKA-JTM-059,19:59,20:02,20:05,20:08,20:13,20:17,20:20,20:23,20:28,20:34,20:38,20:42,20:46,20:50
BK-WE-DKA-JTM-060,20:18,20:21,20:24,20:27,20:32,20:36,20:39,20:42,20:47,20:53,20:57,21:01,21:05,21:09
BK-WE-DKA-JTM-061,20:37,20:40,20:43,20:46,20:51,20:55,20:58,21:01,21:06,21:12,21:16,21:20,21:24,21:28
BK-WE-DKA-JTM-062,20:56,20:59,21:02,21:05,21:10,21:14,21:17,21:20,21:25,21:31,21:35,21:39,21:43,21:47
BK-WE-DKA-JTM-063,21:15,21:18,21:21,21:24,21:29,21:33,21:36,21:39,21:44,21:50,21:54,21:58,22:02,22:06
BK-WE-DKA-JTM-064,21:34,21:37,21:40,21:43,21:48,21:52,21:55,21:58,22:03,22:09,22:13,22:17,22:21,22:25
BK-WE-DKA-JTM-065,21:53,21:56,21:59,22:02,22:07,22:11,22:14,22:17,22:22,22:28,22:32,22:36,22:40,22:44
BK-WE-DKA-JTM-066,22:12,22:15,22:18,22:21,22:26,22:30,22:33,22:36,22:41,22:47,22:51,22:55,22:59,23:03
BK-WE-DKA-JTM-067,22:31,22:34,22:37,22:40,22:45,22:49,22:52,22:55,23:00,23:06,23:10,23:14,23:18,23:22
