trip_id,DKA,SET,RAS,KUA,PAN,CKK,CIL,CWG,TMI,KAM,CRC,HAR
CB-WE-DKA-HAR-050,17:52,17:55,17:58,18:01,18:07,18:11,18:13,18:17,18:27,18:32,18:35,18:42
CB-WE-DKA-HAR-051,18:04,18:08,18:11,18:14,18:19,18:23,18:25,18:29,18:40,18:44,18:48,18:54
CB-WE-DKA-HAR-052,18:17,18:20,18:23,18:26,18:32,18:36,18:38,18:42,18:52,18:57,19:00,19:07
CB-WE-DKA-HAR-053,18:29,18:33,18:36,18:39,18:44,18:48,18:50,18:54,19:05,19:09,19:13,19:19
CB-WE-DKA-HAR-054,18:42,18:45,18:48,18:51,18:57,19:01,19:03,19:07,19:17,19:22,19:25,19:32
CB-WE-DKA-HAR-055,18:54,18:58,19:01,19:04,19:09,19:13,19:15,19:19,19:30,19:34,19:38,19:44
CB-WE-DKA-HAR-056,19:10,19:13,19:16,19:19,19:25,19:29,19:31,19:35,19:45,19:50,19:53,20:00
CB-WE-DKA-HAR-057,19:29,19:32,19:35,19:38,19:44,19:48,19:50,19:54,20:04,20:09,20:12,20:19
CB-WE-DKA-HAR-058,19:48,19:51,19:54,19:57,20:03,20:07,20:09,20:13,20:23,20:28,20:31,20:38
CB-WE-DKA-HAR-059,20:07,20:10,20:13,20:16,20:22,20:26,20:28,20:32,20:42,20:47,20:50,20:57
CB-WE-DKA-HAR-060,20:26,20:29,20:32,20:35,20:41,20:45,20:47,20:51,21:01,21:06,21:09,21:16
CB-WE-DKA-HAR-061,20:45,20:48,20:51,20:54,21:00,21:04,21:06,21:10,21:20,21:25,21:28,21:35
CB-WE-DKA-HAR-062,21:04,21:07,21:10,21:13,21:19,21:23,21:25,21:29,21:39,21:44,21:47,21:54
CB-WE-DKA-HAR-063,21:23,21:26,21:29,21:32,21:38,21:42,21:44,21:48,21:58,22:03,22:06,22:13
CB-WE-DKA-HAR-064,21:42,21:45,21:48,21:51,21:57,22:01,22:03,22:07,22:17,22:22,22:25,22:32
CB-WE-DKA-HAR-065,22:01,22:04,22:07,22:10,22:16,22:20,22:22,22:26,22:36,22:41,22:44,22:51
CB-WE-DKA-HAR-066,22:20,22:23,22:26,22:29,22:35,22:39,22:41,22:45,22:55,23:00,23:03,23:10
CB-WE-DKA-HAR-067,22:39,22:42,22:45,22:48,22:54,22:58,23:00,23:04,23:14,23:19,23:22,23:29
